24776364,CHIPINGE COFFEE RES.INST,Zimbabwe,32.68,20.11,1040
15779410,EMPANDENI MISSION,Zimbabwe,27.9,20.71,1200
23775573,BIKITA  MUSHANDURA,Zimbabwe,31.63,20.18,840
23775579,BIKITA POLICE,Zimbabwe,31.61,20.08,970
23775679,BIKITA AGRICULTURAL STN.,Zimbabwe,31.61,20.08,970
20799259,SIKOMBELA,Zimbabwe,29.13,18.43,1160
13793888,NYANYANI PAN,Zimbabwe,25.46,18.2,1080
24776535,SANNIESRUST,Zimbabwe,32.65,20.48,940
15776453,TJOMPANI,Zimbabwe,27.61,20.31,1200
23776133,CHIREDZANA,Zimbabwe,31.66,20.5,800
13794568,KAZUMA DEPRESSION,Zimbabwe,25.53,18.36,1070
23776159,NYAHUNDA NGORIMA,Zimbabwe,31.68,20.28,700
15776544,DOMBODEMA MISSION,Zimbabwe,27.61,20.4,1280
13795951,PANDA-MA-TENGA POLICE,Zimbabwe,25.71,18.51,1070
24776589,ROOKWOOD,Zimbabwe,32.66,20,1330
15776762,MALIKONGWA DIP,Zimbabwe,27.63,20.23,1260
20799863,GWANYIKA,Zimbabwe,29.2,18.4,1240
23776386,SILVEIRA MISSION,Zimbabwe,31.7,20.03,1100
24776631,JERSEY TEA ESTATE,Zimbabwe,32.66,20.51,770
23776550,TURGWI,Zimbabwe,31.68,20.35,640
20825625,CHIRUNDU POLICE,Zimbabwe,28.85,16.05,400
20826129,CHIRUNDU SUGAR ESTATE,Zimbabwe,28.9,16,390
20828806,MARONGORA,Zimbabwe,29.16,16.21,810
21807884,ATHENS,Zimbabwe,29.96,17.3,1160
21808189,ROMSEY,Zimbabwe,29.98,17.26,1120
21808192,ORMESTON(Chinhoyi),Zimbabwe,30,17.23,1160
21808281,NYARORO,Zimbabwe,30,17.31,1140
21808389,LION'S DEN,Zimbabwe,30.01,17.26,1150
21808398,SHEEPRIDGE,Zimbabwe,30,17.18,1160
21808477,FREDA,Zimbabwe,30.01,17.36,1160
21808967,GOLDEN KOPJE,Zimbabwe,30.06,17.46,1200
21809178,KANAMI,Zimbabwe,30.08,17.36,1220
21809273,ARGYLE,Zimbabwe,30.1,17.4,1190
21809283,MANINGWA,Zimbabwe,30.1,17.31,1220
23776582,BIKITA (Old),Zimbabwe,31.71,20.08,1000
23776659,NYAHUNDA,Zimbabwe,31.71,20.26,680
15777847,RETREAT(Plumtree),Zimbabwe,27.75,20.38,1280
23776935,MASHOKO,Zimbabwe,31.75,20.48,700
23777191,CHIWAKA STORE,Zimbabwe,31.76,19.96,890
23777420,ANGUS RANCH MKWASINE,Zimbabwe,31.78,20.61,520
15777938,SUNRIDGE FARM,Zimbabwe,27.75,20.46,1360
23777596,BIKITA GANGARE,Zimbabwe,31.8,19.93,910
23777874,BIKITA MAKORE,Zimbabwe,31.83,20.13,710
23777956,CHECHENI,Zimbabwe,31.83,20.3,650
23778139,CHIREMWAREMWA,Zimbabwe,31.88,20.45,600
23778365,DEVULI RANCH MARI B'HOLE,Zimbabwe,31.88,20.21,920
23778430,ANGUS RANCH MKAZI,Zimbabwe,31.88,20.53,540
20805098,MSAMPAKARUMA,Zimbabwe,28.76,17.15,680
23778591,MUSHUKU HALT,Zimbabwe,31.9,19.98,850
22806296,HORTA,Zimbabwe,30.75,17.21,1480
15778071,MATJINGE,Zimbabwe,27.76,20.16,1200
23778955,DEVULI RANCH CHARUMA,Zimbabwe,31.93,20.3,620
23779061,DEVULI VILLAGE 23,Zimbabwe,31.95,20.25,630
23779241,ANGUS RANCH H.Q.,Zimbabwe,31.96,20.41,520
22806375,HOWICK RIDGE,Zimbabwe,30.76,17.4,1370
20805389,MASHAME SCHOOL,Zimbabwe,28.8,17.25,660
23779281,DEVULI RANCH C,Zimbabwe,32.21,20.05,700
15778235,PLUMTREE,Zimbabwe,27.8,20.48,1390
23779793,DEWURE,Zimbabwe,32.01,19.95,795
22806392,MONTGOMERY,Zimbabwe,30.76,17.25,1330
23780048,ATHOL,Zimbabwe,31.1,19.45,1310
23780257,EAGLE'S NEST RANCH,Zimbabwe,31.11,19.36,1460
22806398,THREE SISTERS FARM(THE),Zimbabwe,30.76,17.18,1350
23780294,HOKONYA,Zimbabwe,31.11,19.05,1450
15778335,PLUMTREE RAIL/POLICE/SCH,Zimbabwe,27.8,20.48,1390
23780442,NOELDALE,Zimbabwe,31.13,19.51,1300
22806486,NYANDIRWI,Zimbabwe,30.78,17.3,1480
23780728,GUTU,Zimbabwe,31.15,19.63,1390
23780767,DENHERE,Zimbabwe,31.16,19.28,1330
23780884,LOURDES MISSION,Zimbabwe,31.16,19.13,1280
23781249,SOTI SOURCE TONGOGARA,Zimbabwe,31.21,19.45,1305
23781327,GUTU MISSION,Zimbabwe,31.21,19.65,1300
23781447,SOTI SOURCE,Zimbabwe,31.21,19.46,1330
23781581,BVUMBURA,Zimbabwe,31.25,19.16,1300
23781593,SACHIPIRI,Zimbabwe,31.25,19.05,1440
23781599,WAZAREMHAKA,Zimbabwe,31.23,19,1460
23781840,MAISAI,Zimbabwe,31.26,19.56,1240
23781961,VIMVI,Zimbabwe,31.25,19.35,1280
23782049,CHAKATA FARM,Zimbabwe,31.28,19.46,1280
22806566,OUDE KRAAL,Zimbabwe,30.78,17.48,1450
23782246,ZINYEMBA FARM,Zimbabwe,31.3,19.46,1240
23782288,DARAMOMBE MISSION,Zimbabwe,31.3,19.1,1280
22806856,BEREA,Zimbabwe,30.8,17.56,1450
23782654,CHINANAIRA,Zimbabwe,31.35,19.38,1175
23782737,ZVAVAHERA BUS.CENTRE,Zimbabwe,31.35,19.55,1180
23782801,VUMBA HILL,Zimbabwe,31.36,19.88,1230
23783222,DEVULI STORE,Zimbabwe,31.4,19.63,1100
23783274,GWEBU SCHOOL,Zimbabwe,31.4,19.23,1300
23783503,CHITORIDO HILL,Zimbabwe,31.41,19.86,1140
15778651,GWAMBE,Zimbabwe,27.83,20.33,1340
23783524,GONYE,Zimbabwe,31.45,19.68,1100
20805865,CHOTA,Zimbabwe,28.83,17.45,770
23783663,BUHERA D.A.,Zimbabwe,31.43,19.31,1190
15778681,MTOFU,Zimbabwe,27.81,20.06,320
22806891,M'SORODINI,Zimbabwe,30.81,17.25,1430
23783664,BUHERA,Zimbabwe,31.43,19.31,1190
23783895,MUPATSI,Zimbabwe,31.46,19.03,1240
22806960,NETHERFIELD,Zimbabwe,30.81,17.53,1430
15779336,SEAFIELD,Zimbabwe,27.88,20.46,1400
23783943,CHINYIKA(Gutu),Zimbabwe,31.46,19.51,1100
23783995,MPATSI TOWNSHIP,Zimbabwe,31.46,19.03,1260
15779843,TJANKWA,Zimbabwe,27.93,20.43,1380
22806976,CRANHAM EXTENSION,Zimbabwe,30.81,17.48,1360
22806984,MOUNTAIN HOME(Concess),Zimbabwe,30.83,17.31,1510
21771883,PIONEER BLOCK,Zimbabwe,29.35,20.01,1420
22807191,ROAD CAMP MSW 12,Zimbabwe,30.85,17.26,1300
21772192,WALSH BLOCK,Zimbabwe,29.95,19.95,1040
23784311,DEWENDE,Zimbabwe,31.5,19.8,1080
20806472,CHIHORONGWE DAM,Zimbabwe,28.9,17.38,790
23784461,MUNYIRA SCHOOL,Zimbabwe,31.51,19.33,1080
23784642,CHITSA H.P.SCHOOL,Zimbabwe,31.55,19.53,1100
23784670,MAKUMBE BUHERA,Zimbabwe,31.55,19.25,1070
20807378,MUNYATI PANS,Zimbabwe,28.98,17.43,790
23785207,ZINHATA,Zimbabwe,31.58,19.78,980
23785435,DOPOTA,Zimbabwe,31.61,19.56,1020
23785620,ALHEIT MISSION,Zimbabwe,31.63,19.71,1020
15780621,GULAKABILI,Zimbabwe,26.73,19.81,1000
23785691,ST.BERNARD'S SCHOOL,Zimbabwe,31.63,19.06,1075
20807607,JAHANA,Zimbabwe,28.95,18.01,1150
23785838,MAFUSIRE,Zimbabwe,31.65,19.55,1000
23785970,MURAMBINDA HIGH SCHOOL,Zimbabwe,31.65,19.26,955
23786067,MURAMBINDA,Zimbabwe,31.66,19.28,960
22807270,STANLEY KOP,Zimbabwe,30.8,17.41,1300
23786657,MUDANDA,Zimbabwe,31.75,19.45,1020
23786818,HANJARE,Zimbabwe,31.93,19.8,940
22807291,TSATSI RIVER,Zimbabwe,30.85,17.25,1250
20807724,NYATSO TOWNSHIP,Zimbabwe,29.01,17.83,930
23786834,RUTI DAM,Zimbabwe,31.75,19.56,960
23786881,ST.JOHN'S SCHOOL,Zimbabwe,31.75,19.16,960
15780739,SALAMKOMO,Zimbabwe,27.15,19.61,1010
23787017,MUNYIKWA SCHOOL,Zimbabwe,31.76,19.73,930
20807841,NEMBUDZIA,Zimbabwe,29.01,17.68,860
23787031,MATARUSE,Zimbabwe,31.85,19.63,910
21772988,BRAE VALLEY,Zimbabwe,29.45,19.98,1370
22807452,ESTES PARK,Zimbabwe,30.88,17.58,1420
