133,RADGLS,Radiation global,Radiation  global solar,0.10,,,Megajoules/M**2,hourly
134,RADSKY,Radiation  sky,Radiation  sky,0.10,,,Megajoules/M**2,hourly
135,RADRES,Radiation  reflc,Radiation  reflected solar,0.10,,,Megajoules/M**2,hourly
136,RADNAW,Radiation  al wv,Radiation  net all wave,0.10,,,Megajoules/M**2,hourly
137,RADDWN,Radiation  down,Radiation  total downward,0.01,,,Megajoules/M**2,hourly
138,RADUP,Radiation  up,Radiation  total upward,0.10,,,Megajoules/M**2,hourly
139,RADDSL,Radiation direct,Radiation  direct solar,0.10,,,Megajoules/M**2,hourly
140,TORN,Weather-Tornado,Weather  tornado  1=Tornado  2=Funnel,1.00,,,Coded,hourly
141,THUNDR,Weather-Thunder,Weather  thunderstorms,1.00,,,Coded,hourly
142,RAIN,Weather-Rain,Weather  rain,1.00,,,Coded,hourly
143,RNSHW,Weather-Showers,Weather  rain showers,1.00,,,Coded,hourly
144,DRZZL,Weather-Drizzle,Weather  drizzle,1.00,,,Coded,hourly
145,FRZRN,Weather-Frz Rain,Weather  freezing rain,1.00,,,Coded,hourly
146,FRZDRZ,Weather-Frz Driz,Weather  freezing drizzle,1.00,,,Coded,hourly
147,SNOW,Weather-Snow,Weather  snow,1.00,,,Coded,hourly
148,SNWSHW,Weather-Snw-shwr,Weather  snow showers,1.00,,,Coded,hourly
149,SNWGRN,Weather-Snw-grn,Weather  snow grains,1.00,,,Coded,hourly
150,ICE,Weather-Ice-Crys,Weather  ice crystals,1.00,,,Coded,hourly
151,ICEPLT,Weather-Ice-Pell,Weather  ice pellets,1.00,,,Coded,hourly
152,HAIL,Weather-Hail,Weather  hail,1.00,,,Coded,hourly
153,FOG,Weather-Fog,Weather  fog,1.00,,,Coded,hourly
154,ICEFOG,Weather-Ice Fog,Weather  ice fog,1.00,,,Coded,hourly
155,SMOKE,Weather-Smoke,Weather  smoke,1.00,,,Coded,hourly
156,HAZE,Weather-Haze,Weather  haze,1.00,,,Coded,hourly
157,BLWSNW,Weather-Blw-Snow,Weather  blowing snow,1.00,,,Coded,hourly
158,BLWSND,Weather-Blw-Sand,Weather  blowing sand,1.00,,,Coded,hourly
159,BLWDST,Weather-Blw-Dust,Weather  blowing dust,1.00,,,Coded,hourly
160,SQUALL,Weather-squall,Weather  squall,1.00,,,Coded,hourly
161,RAINSQ,Weather-rain sq,Weather  rain squall,1.00,,,Coded,hourly
162,SNOWSQ,Weather-snow sq,Weather  snow squall,1.00,,,Coded,hourly
163,SNOWPL,Weather-snow pel,Weather  snow pellets,1.00,,,Coded,hourly
164,GRDFOG,Weather-grnd fog,Weather  ground fog,1.00,,,Coded,hourly
165,GLAZE,Weather-glaze,Weather  glaze,1.00,,,Coded,hourly
166,VAPPSR,Vapor Pressure,Vapor Pressure,0.10,,,Hectopascals,hourly
167,PRSWX,Present Weather,Present Weather (WMO Synoptic Code),1.00,,,Coded,hourly
168,CLD-1,Cloud a t h lvl1,Cloud  amount type height level 1 (WMO code),1.00,,,Coded,hourly
169,CLD-2,Cloud a t h lvl2,Cloud  amount type height level 2 (WMO code),1.00,,,Coded,hourly
170,CLD-3,Cloud a t h lvl3,Cloud  amount type height level 3 (WMO code),1.00,,,Coded,hourly
171,CLD-4,Cloud a t h lvl4,Cloud  amount type height level 4 (WMO code),1.00,,,Coded,hourly
172,MIXRAT,Mixing ratio,Mixing ratio,1.00,,,Grams/KG,hourly
173,15PRCP,Precip  15 min,Precipitation  total 15 minute,0.10,,,Millimeters,hourly
174,3HPRCP,Precip  3 hour,Precipitation  total 3 hourly,0.10,1000,0,Millimeters,hourly
